NPI 	10	NUMBER 	NPI 
Provider License Number_5 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_5 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_5 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_6 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_6 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_6 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_6 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_7 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_7 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_7 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_7 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_8 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_8 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_8 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_8 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_9 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_9 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_9 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_9 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_10 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_10 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_10 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_10 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_11 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_11 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_11 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_11 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_12 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_12 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_12 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_12 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_13 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_13 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_13 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_13 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_14 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_14 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_14 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_14 	1	VARCHAR 	
Healthcare Provider Taxonomy Code_15 	10	VARCHAR 	Healthcare Provider Taxonomy Code 
Provider License Number_15 	20	VARCHAR 	Provider License Number 
Provider License Number State Code_15 	2	VARCHAR 	Provider License Number State Code 
Healthcare Provider Primary Taxonomy Switch_15 	1	VARCHAR 	
Other Provider Identifier_1 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_1 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_1 	2	VARCHAR 	
Other Provider Identifier Issuer_1 	80	VARCHAR 	
Other Provider Identifier_2 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_2 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_2 	2	VARCHAR 	
Other Provider Identifier Issuer_2 	80	VARCHAR 	
Other Provider Identifier_3 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_3 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_3 	2	VARCHAR 	
Other Provider Identifier Issuer_3 	80	VARCHAR 	
Other Provider Identifier_4 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_4 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_4 	2	VARCHAR 	
Other Provider Identifier Issuer_4 	80	VARCHAR 	
Other Provider Identifier_5 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_5 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_5 	2	VARCHAR 	
Other Provider Identifier Issuer_5 	80	VARCHAR 	
Other Provider Identifier_6 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_6 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_6 	2	VARCHAR 	
Other Provider Identifier Issuer_6 	80	VARCHAR 	
Other Provider Identifier_7 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_7 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_7 	2	VARCHAR 	
Other Provider Identifier Issuer_7 	80	VARCHAR 	
Other Provider Identifier_8 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_8 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_8 	2	VARCHAR 	
Other Provider Identifier Issuer_8 	80	VARCHAR 	
Other Provider Identifier_9 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_9 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_9 	2	VARCHAR 	
Other Provider Identifier Issuer_9 	80	VARCHAR 	
Other Provider Identifier_10 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_10 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_10 	2	VARCHAR 	
Other Provider Identifier Issuer_10 	80	VARCHAR 	
Other Provider Identifier_11 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_11 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_11 	2	VARCHAR 	
Other Provider Identifier Issuer_11 	80	VARCHAR 	
Other Provider Identifier_12 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_12 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_12 	2	VARCHAR 	
Other Provider Identifier Issuer_12 	80	VARCHAR 	
Other Provider Identifier_13 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_13 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_13 	2	VARCHAR 	
Other Provider Identifier Issuer_13 	80	VARCHAR 	
Other Provider Identifier_14 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_14 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_14 	2	VARCHAR 	
Other Provider Identifier Issuer_14 	80	VARCHAR 	
Other Provider Identifier_15 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_15 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_15 	2	VARCHAR 	
Other Provider Identifier Issuer_15 	80	VARCHAR 	
Other Provider Identifier_16 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_16 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_16 	2	VARCHAR 	
Other Provider Identifier Issuer_16 	80	VARCHAR 	
Other Provider Identifier_17 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_17 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_17 	2	VARCHAR 	
Other Provider Identifier Issuer_17 	80	VARCHAR 	
Other Provider Identifier_18 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_18 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_18 	2	VARCHAR 	
Other Provider Identifier Issuer_18 	80	VARCHAR 	
Other Provider Identifier_19 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_19 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_19 	2	VARCHAR 	
Other Provider Identifier Issuer_19 	80	VARCHAR 	
Other Provider Identifier_20 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_20 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_20 	2	VARCHAR 	
Other Provider Identifier Issuer_20 	80	VARCHAR 	
Other Provider Identifier_21 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_21 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_21 	2	VARCHAR 	
Other Provider Identifier Issuer_21 	80	VARCHAR 	
Other Provider Identifier_22 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_22 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_22 	2	VARCHAR 	
Other Provider Identifier Issuer_22 	80	VARCHAR 	
Other Provider Identifier_23 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_23 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_23 	2	VARCHAR 	
Other Provider Identifier Issuer_23 	80	VARCHAR 	
Other Provider Identifier_24 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_24 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_24 	2	VARCHAR 	
Other Provider Identifier Issuer_24 	80	VARCHAR 	
Other Provider Identifier_25 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_25 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_25 	2	VARCHAR 	
Other Provider Identifier Issuer_25 	80	VARCHAR 	
Other Provider Identifier_26 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_26 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_26 	2	VARCHAR 	
Other Provider Identifier Issuer_26 	80	VARCHAR 	
Other Provider Identifier_27 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_27 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_27 	2	VARCHAR 	
Other Provider Identifier Issuer_27 	80	VARCHAR 	
Other Provider Identifier_28 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_28 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_28 	2	VARCHAR 	
Other Provider Identifier Issuer_28 	80	VARCHAR 	
Other Provider Identifier_29 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_29 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_29 	2	VARCHAR 	
Other Provider Identifier Issuer_29 	80	VARCHAR 	
Other Provider Identifier_30 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_30 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_30 	2	VARCHAR 	
Other Provider Identifier Issuer_30 	80	VARCHAR 	
Other Provider Identifier_31 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_31 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_31 	2	VARCHAR 	
Other Provider Identifier Issuer_31 	80	VARCHAR 	
Other Provider Identifier_32 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_32 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_32 	2	VARCHAR 	
Other Provider Identifier Issuer_32 	80	VARCHAR 	
Other Provider Identifier_33 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_33 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_33 	2	VARCHAR 	
Other Provider Identifier Issuer_33 	80	VARCHAR 	
Other Provider Identifier_34 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_34 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_34 	2	VARCHAR 	
Other Provider Identifier Issuer_34 	80	VARCHAR 	
Other Provider Identifier_35 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_35 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_35 	2	VARCHAR 	
Other Provider Identifier Issuer_35 	80	VARCHAR 	
Other Provider Identifier_36 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_36 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_36 	2	VARCHAR 	
Other Provider Identifier Issuer_36 	80	VARCHAR 	
Other Provider Identifier_37 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_37 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_37 	2	VARCHAR 	
Other Provider Identifier Issuer_37 	80	VARCHAR 	
Other Provider Identifier_38 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_38 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_38 	2	VARCHAR 	
Other Provider Identifier Issuer_38 	80	VARCHAR 	
Other Provider Identifier_39 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_39 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_39 	2	VARCHAR 	
Other Provider Identifier Issuer_39 	80	VARCHAR 	
Other Provider Identifier_40 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_40 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_40 	2	VARCHAR 	
Other Provider Identifier Issuer_40 	80	VARCHAR 	
Other Provider Identifier_41 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_41 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_41 	2	VARCHAR 	
Other Provider Identifier Issuer_41 	80	VARCHAR 	
Other Provider Identifier_42 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_42 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_42 	2	VARCHAR 	
Other Provider Identifier Issuer_42 	80	VARCHAR 	
Other Provider Identifier_43 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_43 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_43 	2	VARCHAR 	
Other Provider Identifier Issuer_43 	80	VARCHAR 	
Other Provider Identifier_44 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_44 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_44 	2	VARCHAR 	
Other Provider Identifier Issuer_44 	80	VARCHAR 	
Other Provider Identifier_45 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_45 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_45 	2	VARCHAR 	
Other Provider Identifier Issuer_45 	80	VARCHAR 	
Other Provider Identifier_46 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_46 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_46 	2	VARCHAR 	
Other Provider Identifier Issuer_46 	80	VARCHAR 	
Other Provider Identifier_47 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_47 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_47 	2	VARCHAR 	
Other Provider Identifier Issuer_47 	80	VARCHAR 	
Other Provider Identifier_48 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_48 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_48 	2	VARCHAR 	
Other Provider Identifier Issuer_48 	80	VARCHAR 	
Other Provider Identifier_49 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_49 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_49 	2	VARCHAR 	
Other Provider Identifier Issuer_49 	80	VARCHAR 	
Other Provider Identifier_50 	20	VARCHAR 	Other Provider Identifier 
Other Provider Identifier Type Code_50 	2	VARCHAR 	Other Provider Identifier Type Code 
Other Provider Identifier State_50 	2	VARCHAR 	
Other Provider Identifier Issuer_50 	80	VARCHAR 	
Is Sole Proprietor 	1	VARCHAR 	Provider Sole Proprietor Flag 
Is Organization Subpart 	1	VARCHAR 	Provider Organization Subpart Flag 
Parent Organization LBN 	70	VARCHAR 	Provider Organization Subpart Legal Business Name 
Parent Organization TIN 	9	VARCHAR 	Provider Organization Subpart TIN 
Authorized Official Name Prefix Text 	5	VARCHAR 	Authorized Official Name Prefix Text 
Authorized Official Name Suffix Text 	5	VARCHAR 	Authorized Official Name Suffix Text 
Authorized Official Credential Text 	20	VARCHAR 	Authorized Official Credential Text 
